Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,Agilent Technologies,81.97,4.9,6.36%,77.31,82,77.24,3407500,03/02/2020
AA,Alcoa Corp,13.73,-0.14,-1.01%,14.02,14.03,13.11,6784800,03/02/2020
AAL,American Airlines Gp,18.86,-0.19,-1.00%,19.05,19.06,17.51,38737898,03/02/2020
AAP,Advance Auto Parts Inc,132.99,0.01,0.01%,133.45,133.45,128.04,1402900,03/02/2020
AAPL,Apple Inc,298.81,25.45,9.31%,282.28,301.44,277.72,85349297,03/02/2020
ABBV,Abbvie Inc,88.69,2.98,3.48%,86,88.78,83.55,12171000,03/02/2020
ABC,Amerisourcebergen Corp,87.16,2.84,3.37%,84.53,88.32,83.89,4527900,03/02/2020
ABMD,Abiomed Inc,155.1,4.84,3.22%,151.09,155.49,148.03,743600,03/02/2020
ABT,Abbott Laboratories,81.61,4.58,5.95%,77.88,81.68,77.25,11483500,03/02/2020
ACC,American Campus Communities Inc,44.02,0.58,1.34%,43.7,44.32,43.05,1282100,03/02/2020
ACGL,Arch Capital Grp Ltd,42.49,2.06,5.10%,40.5,42.54,40.26,1657600,03/02/2020
ACHC,Acadia Healthcr Company,29.92,0.32,1.10%,29.81,30.08,29.05,1204300,03/02/2020
ACM,Aecom Technology Corp,45.65,0.71,1.58%,45.12,45.77,43.87,2613900,03/02/2020
ACN,Accenture Plc,189.55,8.96,4.96%,182.83,189.82,178.02,4317900,03/02/2020
ADBE,Adobe Systems Inc,360.28,15.16,4.39%,349.81,360.75,342.61,5398100,03/02/2020
ADI,Analog Devices,111.27,2.22,2.04%,110.09,111.44,107.24,3979500,03/02/2020
ADM,Archer Daniels Midland,38.84,1.19,3.16%,38.19,38.84,37.57,4829200,03/02/2020
ADP,Automatic Data Procs,163,8.26,5.34%,155.55,163.09,154.24,3194600,03/02/2020
ADPT,Adaptive Biotechnologies Corp,26.8,-1.3,-4.63%,28.45,28.5,26.33,1437800,03/02/2020
ADS,Alliance Data Systems Corp,86.07,0.19,0.22%,86.73,86.73,82.1,1697700,03/02/2020
ADSK,Autodesk Inc,190.83,-0.05,-0.03%,190.67,191.97,183.27,2698900,03/02/2020
ADT,ADT Inc,6.6,0.21,3.29%,6.38,6.6,6.03,2037300,03/02/2020
AEE,Ameren Corp,84.42,5.42,6.86%,79.29,84.46,79.15,2835700,03/02/2020
AEP,American Electric Power Company,95.09,5.83,6.53%,89.55,95.31,89.33,4936200,03/02/2020
AES,The Aes Corp,18.22,1.49,8.91%,16.77,18.24,16.48,8987900,03/02/2020
AFG,American Financial Group,97.4,4.98,5.39%,93.28,97.4,92.36,924800,03/02/2020
AFL,Aflac Incorporated,45.29,2.44,5.69%,43.12,45.3,42.92,6569000,03/02/2020
AGCO,Agco Corp,63.6,3.17,5.25%,60.82,63.62,60.01,686600,03/02/2020
AGIO,Agios Pharmaceuticals,49.34,1.86,3.92%,47.3,49.35,45.85,649200,03/02/2020
AGN,Allergan Plc,193.84,3.17,1.66%,190.67,193.84,188.46,3775600,03/02/2020
AGNC,American Capital Age,18.15,1.11,6.51%,17.29,18.15,17.18,16209500,03/02/2020
AGO,Assured Guaranty Ltd,42.53,1.72,4.21%,40.72,42.61,40.65,1157100,03/02/2020
AGR,Avangrid Inc,52,2.31,4.65%,49.83,52.06,49.83,796300,03/02/2020
AIG,American International Group,42.85,0.69,1.64%,42.11,42.89,41.43,10262100,03/02/2020
AIV,Apartment Investment and Management,49.49,1.65,3.45%,47.95,49.52,47.61,2417900,03/02/2020
AIZ,Assurant Inc,127.89,7.3,6.05%,120.8,127.95,120.61,553200,03/02/2020
AJG,Arthur J. Gallagher & Company,103.51,6.02,6.17%,97.82,103.59,97.82,1815400,03/02/2020
AKAM,Akamai Technologies,90.91,4.4,5.09%,87.31,90.92,86.6,1726800,03/02/2020
AL,Air Lease Corp Cl A,39.2,0.84,2.19%,38.64,39.38,37.87,1651700,03/02/2020
ALB,Albemarle Corp,84.3,2.45,2.99%,82.49,84.3,80.15,1661300,03/02/2020
ALGN,Align Technology,230.22,11.87,5.44%,219.27,230.49,212.94,1325300,03/02/2020
ALK,Alaska Air Group,50.03,-0.43,-0.85%,50.85,51.3,48.38,3075000,03/02/2020
ALKS,Alkermes Plc,21.24,0.4,1.92%,20.9,21.28,20,3491700,03/02/2020
ALL,Allstate Corp,112.67,7.42,7.05%,104.59,112.76,104.59,2794600,03/02/2020
ALLE,Allegion Plc,120.86,5.87,5.10%,115.36,120.86,114.73,912600,03/02/2020
ALLY,Ally Financial,25.62,0.55,2.19%,25.22,25.63,24.74,4887700,03/02/2020
ALNY,Alnylam Pharmaceuticals,114.78,-2.88,-2.45%,118.89,119.42,111.01,1032500,03/02/2020
ALSN,Allison Transmission Holdings,41.5,0.9,2.22%,40.71,41.56,39.78,1116300,03/02/2020
ALXN,Alexion Pharm Inc,96.16,2.13,2.27%,90.48,96.48,90.48,3570900,03/02/2020
AM,Antero Midstream Corp,4.44,0.08,1.83%,4.45,4.5,4.01,7996100,03/02/2020
AMAT,Applied Materials,60.16,2.04,3.51%,58.7,60.19,57,10795200,03/02/2020
AMCX,Amc Networks Cl A,31.07,0.07,0.23%,30.9,32.34,29.9,1386400,03/02/2020
AMD,Adv Micro Devices,47.46,1.98,4.35%,47.42,47.68,44.66,102324703,03/02/2020
AME,Amtek Inc,90.02,4.02,4.67%,86.53,90.43,86.07,3211400,03/02/2020
AMG,Affiliated Managers Group,78.36,3.14,4.17%,75.67,78.6,74.28,816600,03/02/2020
AMGN,Amgen Inc,212.2,12.47,6.24%,199.9,212.37,198.71,4245700,03/02/2020
AMH,American Homes 4 Rent,27.38,1.49,5.76%,26.04,27.38,25.93,3718500,03/02/2020
AMP,Ameriprise Financial Services,150.86,9.56,6.77%,142.13,150.89,139.49,1482600,03/02/2020
AMT,American Tower Corp,240.75,13.95,6.15%,229.03,240.88,228.08,2718400,03/02/2020
AMTD,TD Ameritrade HD,43.67,1.44,3.41%,42.45,43.78,41.13,8546800,03/02/2020
AMZN,Amazon.com Inc,1953.95,70.2,3.73%,1906.49,1954.51,1870,6761600,03/02/2020
AN,Autonation Inc,44.03,1.3,3.04%,42.88,44.15,41.99,862800,03/02/2020
ANAT,Amer Natl Insurance,100.61,2.25,2.29%,98.38,101.6,97.68,42800,03/02/2020
ANET,Arista Networks Inc,196.59,3.47,1.80%,194.68,197.18,190.15,916400,03/02/2020
ANSS,Ansys Inc,258.81,16.62,6.86%,242.08,259.08,241.51,1386600,03/02/2020
ANTM,Anthem Inc,271.27,14.18,5.52%,259.6,272.19,250.38,3317600,03/02/2020
AON,AON Plc,221.06,13.06,6.28%,208.78,221.23,208.6,2083000,03/02/2020
AOS,Smith [A.O.] Corp,41,1.45,3.67%,39.73,41.03,38.7,3068200,03/02/2020
APA,Apache Corp,25.52,0.6,2.41%,25.49,25.89,24.65,8986899,03/02/2020
APD,Air Products and Chemicals,230.65,11.04,5.03%,221.09,230.84,220.63,1625400,03/02/2020
APH,Amphenol Corp,94.93,3.25,3.54%,92.41,94.95,90.61,2539800,03/02/2020
APLE,Apple Hospitality REIT Inc,13.19,0.12,0.92%,13.14,13.2,12.86,4188000,03/02/2020
APTV,Aptiv Plc,82.17,4.06,5.20%,78.71,82.18,77.63,2572200,03/02/2020
APY,Apergy Corp,19.69,1.09,5.86%,18.81,19.71,18.16,961500,03/02/2020
AR,Antero Resources Corp,1.47,-0.13,-8.13%,1.68,1.69,1.44,12882500,03/02/2020
ARD,Ardagh Group S.A.,18.1,0.57,3.25%,17.67,18.1,17.17,143000,03/02/2020
ARE,Alexandria Real Estate Equities,155.58,3.7,2.44%,152.89,155.95,151.39,1201500,03/02/2020
ARMK,Aramark Holdings Corp,34.42,-0.32,-0.92%,34.79,35.01,33.09,3199800,03/02/2020
ARNC,Arconic Inc,29.95,0.6,2.04%,29.48,29.95,28.98,7372000,03/02/2020
ARW,Arrow Electronics,68.81,1.75,2.61%,67.72,68.87,65.8,707100,03/02/2020
ASB,Associated Banc-Corp,17.7,0.77,4.55%,16.99,17.72,16.7,2008800,03/02/2020
ASH,Ashland Global Holdings Inc,73.05,1.51,2.11%,71.91,73.1,70.57,739400,03/02/2020
ATH,Athene Holding Ltd,42.25,1,2.42%,41.5,42.27,40.65,2978300,03/02/2020
ATO,Atmos Energy Corp,107.89,4.64,4.49%,103.71,108.31,103.31,1877400,03/02/2020
ATR,Aptargroup,103.58,2.51,2.48%,101.62,103.76,100.81,331700,03/02/2020
ATUS,Altice USA Inc Cl A,26.21,0.35,1.35%,25.95,26.24,25.58,9284199,03/02/2020
ATVI,Activision Blizzard,60.59,2.46,4.23%,58.3,60.65,57.91,9483000,03/02/2020
AVB,Avalonbay Communities,209.67,9.08,4.53%,201.76,209.67,199.81,1275700,03/02/2020
AVGO,Broadcom Ltd,284.97,12.35,4.53%,276.76,285.4,271.15,3197600,03/02/2020
AVLR,Avalara Inc,84.99,0.24,0.28%,84.75,85.88,80.67,1166800,03/02/2020
AVT,Avnet Inc,31.52,0.84,2.74%,30.73,31.54,30.25,1037300,03/02/2020
AVTR,Avantor Inc,16,0.25,1.59%,15.78,16.05,15.43,1938800,03/02/2020
AVY,Avery Dennison Corp,120.01,5.52,4.82%,114.73,120.05,112.72,951400,03/02/2020
AWI,Armstrong World Industries Inc,103.97,3.82,3.81%,100.78,104.08,98.65,443700,03/02/2020
AWK,American Water Works,130.84,7.18,5.81%,124.33,130.94,124.08,1860300,03/02/2020
AXP,American Express Company,113.87,3.94,3.58%,111.11,113.99,108.59,9851600,03/02/2020
AXS,Axis Capital Holdings,58.68,2.56,4.56%,55.66,58.76,55.21,867100,03/02/2020
AXTA,Axalta Coating Systems Ltd,25.23,0.31,1.24%,25.05,25.26,24.59,5382300,03/02/2020
AYI,Acuity Brands Inc,102.59,-0.27,-0.26%,103.43,103.43,100.07,547400,03/02/2020
AYX,Alteryx Inc,145.17,5.55,3.98%,142.61,145.24,137.55,2156000,03/02/2020
AZO,Autozone,1046.89,14.38,1.39%,1042,1051.29,1013.34,488100,03/02/2020
AZPN,Aspen Technology,109.03,2.52,2.37%,107.72,109.23,102.72,730400,03/02/2020
BA,Boeing Company,289.27,14.16,5.15%,279.54,291.71,274.29,11012199,03/02/2020
BAC,Bank of America Corp,29.37,0.87,3.05%,28.35,29.38,27.44,147776313,03/02/2020
BAH,Booz Allen Hamilton Holding Corp,74.05,2.75,3.86%,71.48,74.06,71.12,2485900,03/02/2020
BAX,Baxter International Inc,87.18,3.71,4.44%,83.37,87.23,82.9,3370500,03/02/2020
BBY,Best Buy Company,79.61,3.96,5.23%,76.25,79.62,74.31,3898500,03/02/2020
BC,Brunswick Corp,54.03,0.83,1.56%,53.39,54.16,52.41,988700,03/02/2020
BDN,Brandywine Realty Trust,14.16,0.58,4.27%,13.65,14.19,13.51,1687400,03/02/2020
BDX,Becton Dickinson and Company,245.32,7.5,3.15%,237.84,245.32,234.05,2234200,03/02/2020
BEN,Franklin Resources,23.35,1.59,7.31%,21.95,23.36,21.73,8850899,03/02/2020
BERY,Berry Global Group,38.34,0.38,1.00%,38.07,38.35,36.89,2426400,03/02/2020
BF.A,Brown Forman Inc Cl A,60.65,1.96,3.34%,59.23,61.01,57.53,31100,03/02/2020
BFAM,Bright Horizons Family Solutions Inc,159.37,2.22,1.41%,157.41,162.9,155.12,631400,03/02/2020
BF.B,Brown Forman Inc Cl B,64.32,2.91,4.74%,61.38,64.44,60.96,1160500,03/02/2020
BG,Bunge Ltd,49.03,2.08,4.43%,47.21,49.19,47.06,1794500,03/02/2020
BGCP,Bgc Partners Cl A,4.84,0.18,3.86%,4.67,4.86,4.61,2601200,03/02/2020
BHF,Brighthouse Financial Inc,37.46,1.62,4.52%,36.15,37.52,35.13,1497700,03/02/2020
BIIB,Biogen Inc,327.89,19.5,6.32%,308.64,328.23,307.83,2364900,03/02/2020
BIO,Bio-Rad Laboratories,368.95,16.93,4.81%,353.83,369.44,344.02,264100,03/02/2020
BK,Bank of New York Mellon Corp,40.96,1.06,2.66%,40.03,40.96,39.2,11490600,03/02/2020
BKI,Black Knight Inc,69.17,2.46,3.69%,66.58,69.27,65.46,1396500,03/02/2020
BKNG,Booking Holdings Inc,1728.98,33.32,1.97%,1697.94,1732.92,1651.76,869400,03/02/2020
BKR,Baker Hughes A Ge Co. Cl A,17.17,1.08,6.71%,16.39,17.19,15.89,10606600,03/02/2020
BKU,BankUnited Inc,30.9,1.2,4.04%,29.56,30.95,29.48,1578700,03/02/2020
BLK,Blackrock,487.94,24.93,5.38%,467.14,488.18,461.57,1278200,03/02/2020
BLL,Ball Corp,75.17,4.71,6.68%,70.92,75.2,70.79,2610800,03/02/2020
BLUE,Bluebird Bio,73.84,1.51,2.09%,72.97,74.06,69.63,930900,03/02/2020
BMRN,Biomarin Pharmaceuticals,94.4,4.03,4.46%,91.15,94.54,90.16,2360300,03/02/2020
BMY,Bristol-Myers Squibb Company,60.34,1.28,2.17%,59.57,60.78,58.68,19500299,03/02/2020
BOH,Bank of Hawaii Corp,77.98,3.56,4.78%,74.51,78.06,74.19,258000,03/02/2020
BOKF,Bok Financial Corp,74.7,2.3,3.18%,72.14,74.87,71.32,235200,03/02/2020
BPOP,Popular Inc,49.99,2.01,4.19%,48.04,50.1,47.74,692200,03/02/2020
BPR,Brookfield Property REIT Inc,16.31,-0.32,-1.92%,16.28,16.4,15.79,4787200,02/28/20
BR,Broadridge Financial Solutions Llc,106.25,1.89,1.81%,105.51,107.21,103.58,2429000,03/02/2020
BRK.B,Berkshire Hathaway Cl B,217.63,11.29,5.47%,207.25,218.8,204.43,10408100,03/02/2020
BRKR,Bruker Corp,45.6,2.04,4.68%,43.89,45.63,43.06,843200,03/02/2020
BRO,Brown & Brown,45.44,2.43,5.65%,43.59,45.57,43.35,3366900,03/02/2020
BRX,Brixmor Property Group Inc,18.65,0.44,2.42%,18.3,18.65,17.9,3587800,03/02/2020
BSX,Boston Scientific Corp,38.27,0.88,2.35%,37.6,38.27,36.71,14333700,03/02/2020
BURL,Burlington Stores Inc,218.41,2.15,0.99%,217.17,219.23,210.32,853100,03/02/2020
BWA,Borgwarner Inc,32.33,0.73,2.31%,31.5,32.33,30.89,4148100,03/02/2020
BWXT,Bwx Technologies Inc,55.47,0.63,1.15%,55.58,55.7,54.06,1219000,03/02/2020
BXP,Boston Properties,134.54,5.6,4.34%,129.63,134.55,128.43,1327800,03/02/2020
BYND,Beyond Meat Inc,96.1,6.45,7.19%,95,96.8,90.3,7240400,03/02/2020
C,Citigroup Inc,67.59,4.13,6.51%,63.85,67.61,63.12,29006400,03/02/2020
CABO,Cable One Inc,1625.28,52.26,3.32%,1578.73,1635.72,1554,43900,03/02/2020
CACC,Credit Acceptance,397.77,-5.43,-1.35%,407.23,409.46,390.15,252000,03/02/2020
CACI,Caci International,251.13,6.11,2.49%,245.1,251.21,239.02,189800,03/02/2020
CAG,Conagra Brands Inc,28.24,1.55,5.81%,26.86,28.3,26.73,8239900,03/02/2020
CAH,Cardinal Health,54.02,1.9,3.65%,52.31,54.02,51.77,4630300,03/02/2020
CASY,Casey's General Stor,163.77,0.75,0.46%,163.6,165.71,160.68,515100,03/02/2020
CAT,Caterpillar Inc,127.6,3.36,2.70%,125.05,127.88,123,6100100,03/02/2020
CB,Chubb Ltd,151.81,6.78,4.67%,145.13,152.14,145.01,3069400,03/02/2020
CBOE,CBOE Global Markets Inc,118.18,4.18,3.67%,112.42,118.18,112.42,1232900,03/02/2020
CBRE,CBRE Group Inc,58.19,2.05,3.65%,56.28,58.19,55.54,1817300,03/02/2020
CBSH,Commerce Bancshares,63.43,2.39,3.92%,60.94,63.49,60.38,667100,03/02/2020
CBT,Cabot Corp,38.61,1.23,3.29%,37.59,38.66,36.41,541000,03/02/2020
CC,Chemours Company,14.43,-0.43,-2.89%,14.95,15,13.57,5094300,03/02/2020
CCI,Crown Castle International Corp,156.24,12.95,9.04%,143.93,156.52,143.82,4077800,03/02/2020
CCK,Crown Cork & Seal Company,74.21,3.71,5.26%,71.06,74.25,70.75,1750200,03/02/2020
CCL,Carnival Corp,33.06,-0.4,-1.20%,32.71,33.06,31.25,19716199,03/02/2020
CDAY,Ceridian Hcm Holding Inc,74.21,3.48,4.92%,71.6,74.44,70.26,2283400,03/02/2020
CDEV,Centennial Resource Development Inc,2.17,-0.2,-8.44%,2.45,2.45,2.09,6932400,03/02/2020
CDK,Cdk Global Inc,45.65,-0.37,-0.80%,46.12,46.19,44.65,893200,03/02/2020
CDNS,Cadence Design Sys,68.36,2.22,3.36%,66.66,68.38,65.01,2711100,03/02/2020
CDW,CDW Corp,119.98,5.76,5.04%,115.07,119.98,113.13,2087700,03/02/2020
CE,Celanese Corp,96.37,2.63,2.81%,94.09,96.6,92.72,1434600,03/02/2020
CERN,Cerner Corp,72.55,3.28,4.74%,69.51,72.59,69.22,3180100,03/02/2020
CF,Cf Industries Holdings,38.22,1.36,3.69%,37.28,38.27,36.98,4818800,03/02/2020
CFG,Citizens Financial Group Inc/Ri,33.32,1.63,5.14%,31.68,33.34,31.16,8307801,03/02/2020
CFR,Cullen/Frost Bankers,81.82,3.43,4.38%,78.56,81.85,77.06,560500,03/02/2020
CFX,Colfax Corp,34.24,0.77,2.30%,33.86,34.26,32.36,1387300,03/02/2020
CGNX,Cognex Cp,46.35,1.81,4.06%,44.95,46.37,43.91,2074500,03/02/2020
CHD,Church & Dwight Company,74.96,5.44,7.83%,69.83,75.04,69.53,3901200,03/02/2020
CHE,Chemed Inc,450.06,32.44,7.77%,406.1,454.41,403.94,329100,03/02/2020
CHH,Choice Hotels International,94.35,3.07,3.36%,91.63,94.39,89.08,545300,03/02/2020
CHK,Chesapeake Energy Corp,0.22,-0.06,-20.91%,0.29,0.3,0.22,268773313,03/02/2020
CHNG,Change Healthcare Inc,14.33,0.74,5.45%,13.69,14.42,13.64,12080800,03/02/2020
CHRW,C.H. Robinson Ww,70.09,1.19,1.73%,69.03,70.12,68.38,1786100,03/02/2020
CHTR,Charter Communicatio,497.13,3.96,0.80%,494.47,500.7,490.34,2951700,03/02/2020
CI,Cigna Corp,194.34,11.4,6.23%,183.41,194.54,180.41,3901200,03/02/2020
CIEN,Ciena Corp,39.66,1.21,3.15%,38.86,39.72,37.89,1461500,03/02/2020
CIM,Chimera Investment Corp,21.1,1.45,7.38%,19.82,21.11,19.8,3521700,03/02/2020
CINF,Cincinnati Financial,101.36,8.12,8.71%,94,101.62,92.14,1528600,03/02/2020
CIT,Cit Group Inc,40.64,0.93,2.34%,39.67,40.72,38.7,1258000,03/02/2020
CL,Colgate-Palmolive Company,72.44,4.87,7.21%,68.51,72.56,68.51,7940700,03/02/2020
CLGX,Corelogic,48.29,2.92,6.44%,45.75,48.32,45.37,644400,03/02/2020
CLH,Clean Harbors,72.68,3.16,4.55%,69.79,72.72,68.9,583300,03/02/2020
CLNY,Colony Capital Inc,4.31,0.35,8.84%,3.98,4.35,3.91,3877400,03/02/2020
CLR,Continental Resources,18.09,-0.86,-4.54%,19.09,19.19,17.49,8723300,03/02/2020
CLX,Clorox Company,172.01,12.59,7.90%,163.1,172.1,162.81,3753300,03/02/2020
CMA,Comerica Inc,55.02,2.38,4.52%,52.6,55.02,51.71,3255100,03/02/2020
CMCSA,Comcast Corp A,42.52,2.09,5.17%,40.34,42.53,39.4,40006898,03/02/2020
CMD,Cantel Medical,62.57,-0.53,-0.84%,63.24,63.83,61.03,568500,03/02/2020
CME,CME Group Inc,209.4,10.58,5.32%,198.46,210.33,198.37,3768400,03/02/2020
CMG,Chipotle Mexican Grill,768.81,-4.77,-0.62%,780.9,781.57,739.9,869600,03/02/2020
CMI,Cummins Inc,155.66,4.37,2.89%,151.56,155.94,149.01,1794300,03/02/2020
CMS,Cms Energy Corp,64.14,3.72,6.16%,60.6,64.15,60.56,3386600,03/02/2020
CNA,Cna Financial Corp,44.58,3,7.22%,41.59,44.59,41.51,441400,03/02/2020
CNC,Centene Corp,55.44,2.42,4.56%,53.51,55.6,51.55,9814899,03/02/2020
CNK,Cinemark Holdings Inc,24.74,-1.22,-4.70%,26.1,26.16,23.82,3766200,03/02/2020
CNP,Centerpoint Energy Inc,23.75,0.73,3.17%,23.08,23.75,22.79,7324500,03/02/2020
COF,Capital One Financial Corp,91.47,3.21,3.64%,88.56,91.52,86.93,4111700,03/02/2020
COG,Cabot Oil & Gas Corp,14.55,0.62,4.45%,14.06,14.68,13.68,11035200,03/02/2020
COHR,Coherent Inc,129.21,0.5,0.39%,130.59,130.72,123.64,197400,03/02/2020
COLD,Americold Realty Trust,32.5,1.83,5.97%,30.81,32.55,30.4,2839500,03/02/2020
COLM,Columbia Sprtswr,81.97,0.67,0.82%,81.85,82.44,79.9,841000,03/02/2020
COMM,Commscope Holding Company,11.16,0.15,1.36%,10.91,11.16,10.21,4056100,03/02/2020
CONE,Cyrusone Inc,63.26,2.68,4.42%,60.9,63.66,59.87,2240400,03/02/2020
COO,Cooper Companies,335.45,10.88,3.35%,327.49,335.52,324.15,282000,03/02/2020
COP,Conocophillips,49.23,0.81,1.67%,49.32,49.38,46.88,10672899,03/02/2020
COR,Coresite Realty Corp,109.52,5.79,5.58%,104.3,109.71,104.3,486100,03/02/2020
COST,Costco Wholesale,309.14,28,9.96%,294.44,309.51,291.38,7563700,03/02/2020
COTY,Coty Inc,9.3,0.07,0.76%,9.28,9.31,8.9,7867900,03/02/2020
COUP,Coupa Software Inc,158.53,8.78,5.86%,154.79,158.9,149.26,1150100,03/02/2020
CPA,Copa Holdings S.A.,86.63,3.49,4.20%,83.75,86.69,81.1,839200,03/02/2020
CPB,Campbell Soup Company,47.98,2.86,6.34%,45.34,48,45.3,4573700,03/02/2020
CPRI,Capri Holdings Ltd,25.43,-0.39,-1.51%,25.82,25.85,24.45,4461900,03/02/2020
CPRT,Copart Inc,86.69,2.21,2.62%,84.12,86.89,82.13,3094600,03/02/2020
CPT,Camden Property Trust,110.29,4.31,4.07%,106.73,110.88,106.1,1297800,03/02/2020
CR,Crane Company,71.56,3.61,5.31%,68.71,71.56,67.37,738300,03/02/2020
CREE,Cree Inc,46.68,1.95,4.36%,45.2,46.74,43.73,1920000,03/02/2020
CRI,Carter's Inc,95.01,3.54,3.87%,91.61,95.28,89.82,866700,03/02/2020
CRL,Charles River Laboratories Intl,164.3,8.73,5.61%,156.79,164.48,154.19,790400,03/02/2020
CRM,Salesforce.com Inc,176.76,6.36,3.73%,172.2,176.79,168.59,7761000,03/02/2020
CRNC,Cerence Inc,22.86,1.15,5.30%,21.91,22.87,20.9,428200,03/02/2020
CSCO,Cisco Systems Inc,41.17,1.24,3.11%,40.15,41.19,38.92,48864301,03/02/2020
CSGP,Costar Group Inc,705.8,38.21,5.72%,662.43,711.27,650.85,426200,03/02/2020
CSL,Carlisle Companies Inc,150.49,5.2,3.58%,146.26,150.99,145.45,632300,03/02/2020
CSX,CSX Corp,70.75,0.3,0.43%,70.32,71.41,68.98,10651300,03/02/2020
